datasetID,locality,year,scientificName,vernacularName
nvdimp,丹大野生動物重要棲息環境,2003,Lycopodium yueshanense,玉山地刷子
nvdimp,丹大野生動物重要棲息環境,2003,Litsea morrisonensis,玉山木薑子
nvdimp,丹大野生動物重要棲息環境,2003,Picris hieracioides subsp. morrisonensis,玉山毛連菜
nvdimp,丹大野生動物重要棲息環境,2003,Agrostis infirma,玉山翦股穎
nvdimp,丹大野生動物重要棲息環境,2003,Tripterospermum lanceolatum,玉山肺形草
nvdimp,丹大野生動物重要棲息環境,2003,Hypericum nagasawae,玉山金絲桃
nvdimp,丹大野生動物重要棲息環境,2003,Pteris wallichiana,瓦氏鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Desmodium laxiflorum,疏花山螞蝗
nvdimp,丹大野生動物重要棲息環境,2003,Rubus niveus,白絨懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Lithocarpus harlandii,短尾葉石櫟
nvdimp,丹大野生動物重要棲息環境,2003,Platanthera brevicalcarata,短距粉蝶蘭
nvdimp,丹大野生動物重要棲息環境,2003,Microtropis fokienensis,福建賽衛矛
nvdimp,丹大野生動物重要棲息環境,2003,Polypodium argutum,箭葉水龍骨
nvdimp,丹大野生動物重要棲息環境,2003,Pteris ensiformis,箭葉鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Ageratum houstonianum,紫花藿香薊
nvdimp,丹大野生動物重要棲息環境,2003,Glochidion rubrum,細葉饅頭果
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris subatrata,細葉鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Pinus taiwanensis,臺灣二葉松
nvdimp,丹大野生動物重要棲息環境,2003,Polygonum multiflorum var. hypoleucum,臺灣何首烏
nvdimp,丹大野生動物重要棲息環境,2003,Luzula taiwaniana,臺灣地楊梅
nvdimp,丹大野生動物重要棲息環境,2003,Arisaema formosanum,臺灣天南星
nvdimp,丹大野生動物重要棲息環境,2003,Maesa perlaria var. formosana,臺灣山桂花
nvdimp,丹大野生動物重要棲息環境,2003,Tetrastigma umbellatum,臺灣崖爬藤
nvdimp,丹大野生動物重要棲息環境,2003,Hedera rhombea var. formosana,臺灣常春藤
nvdimp,丹大野生動物重要棲息環境,2003,Rubus formosensis,臺灣懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Polypodium formosanum,臺灣水龍骨
nvdimp,丹大野生動物重要棲息環境,2003,Marsdenia formosana,臺灣牛彌菜
nvdimp,丹大野生動物重要棲息環境,2003,Plagiogyria formosana,臺灣瘤足蕨
nvdimp,丹大野生動物重要棲息環境,2003,Acer morrisonense,臺灣紅榨槭
nvdimp,丹大野生動物重要棲息環境,2003,Spiraea formosana,臺灣繡線菊
nvdimp,丹大野生動物重要棲息環境,2003,Tripterospermum taiwanense,臺灣肺形草
nvdimp,丹大野生動物重要棲息環境,2003,Elaeagnus formosana,臺灣胡頹子
nvdimp,丹大野生動物重要棲息環境,2003,Pinus armandii var. mastersiana,臺灣華山松
nvdimp,丹大野生動物重要棲息環境,2003,Pieris taiwanensis,臺灣馬醉木
nvdimp,丹大野生動物重要棲息環境,2003,Ainsliaea latifolia subsp. henryi,臺灣鬼督郵
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris formosana,臺灣鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Schefflera taiwaniana,臺灣鵝掌柴
nvdimp,丹大野生動物重要棲息環境,2003,Goodyera kwangtungensis,花格斑葉蘭
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris sordidipes,落鱗鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Arisaema taiwanense,蓬萊天南星
nvdimp,丹大野生動物重要棲息環境,2003,Athyrium tozanense,蓬萊蹄蓋蕨
nvdimp,丹大野生動物重要棲息環境,2003,Cynanchum boudieri,薄葉牛皮消
nvdimp,丹大野生動物重要棲息環境,2003,Blumea aromatica,薄葉艾納香
nvdimp,丹大野生動物重要棲息環境,2003,Elatostema trilobulatum,裂葉樓梯草
nvdimp,丹大野生動物重要棲息環境,2003,Glochidion acuminatum,裏白饅頭果
nvdimp,丹大野生動物重要棲息環境,2003,Rubus corchorifolius,變葉懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Actinidia arguta,軟棗獼猴桃
nvdimp,丹大野生動物重要棲息環境,2003,Dryopteris reflexosquamata,逆鱗鱗毛蕨
nvdimp,丹大野生動物重要棲息環境,2003,Elaeagnus thunbergii,鄧氏胡頹子
nvdimp,丹大野生動物重要棲息環境,2003,Clematis leschenaultiana,銹毛鐵線蓮
nvdimp,丹大野生動物重要棲息環境,2003,Castanopsis cuspidata var. carlesii,長尾尖葉櫧
nvdimp,丹大野生動物重要棲息環境,2003,Huperzia serrata var. longipetiolata,長柄千層塔
nvdimp,丹大野生動物重要棲息環境,2003,Lecanthus peduncularis,長梗盤花麻
nvdimp,丹大野生動物重要棲息環境,2003,Litsea acuminata,長葉木薑子
nvdimp,丹大野生動物重要棲息環境,2003,Arisaema consanguineum,長行天南星
nvdimp,丹大野生動物重要棲息環境,2003,Ophiopogon intermedius,間型沿階草
nvdimp,丹大野生動物重要棲息環境,2003,Lonicera acuminata,阿里山忍冬
nvdimp,丹大野生動物重要棲息環境,2003,Smilax arisanensis,阿里山菝葜
nvdimp,丹大野生動物重要棲息環境,2003,Gentiana arisanensis,阿里山龍膽
nvdimp,丹大野生動物重要棲息環境,2003,Litsea elongata var. mushaensis,霧社木薑子
nvdimp,丹大野生動物重要棲息環境,2003,Rubus rolfei,高山懸鉤子
nvdimp,丹大野生動物重要棲息環境,2003,Gaultheria itoana,高山白珠樹
nvdimp,丹大野生動物重要棲息環境,2003,Hydrangea aspera,高山藤繡球
nvdimp,丹大野生動物重要棲息環境,2003,Pteris vittata,鱗蓋鳳尾蕨
nvdimp,丹大野生動物重要棲息環境,2003,Zehneria mucronata,黑果馬㼎兒
nvdimp,丹大野生動物重要棲息環境,2003,Passiflora suberosa,三角葉西番蓮
nvdimp,丹大野生動物重要棲息環境,2003,Rhynchoglossum obliquum var. hologlossum,全唇尖舌苣苔
nvdimp,丹大野生動物重要棲息環境,2003,Asplenium cuneatiforme,大蓬萊鐵角蕨
